user_id,date,time,slot,meal name,calories,protein,carbohydrates,fat,fibre
100022075,2025-04-16,07:40,PRE_BREAKFAST,Tea with Milk without Sugar,62.02,3.11,5.19,3.23,0.25082
100022075,2025-04-16,10:30,BREAKFAST,Moong Chilla,237.01,11.59,27.42,9.05,8.06
100022075,2025-04-16,13:06,LUNCH,,0,0,0,0,0
100022075,2025-04-16,21:21,DINNER,,0,0,0,0,0
100022075,2025-04-17,07:40,PRE_BREAKFAST,Tea with Milk without Sugar,62.02,3.11,5.19,3.23,0.25082
100022075,2025-04-17,10:12,BREAKFAST,,0,0,0,0,0
100022075,2025-04-17,13:14,LUNCH,,0,0,0,0,0
100022075,2025-04-17,20:47,DINNER,,0,0,0,0,0
100022075,2025-04-18,07:20,PRE_BREAKFAST,Tea with Milk without Sugar,62.02,3.11,5.19,3.23,0.25082
100022075,2025-04-18,10:10,BREAKFAST,Misal without Pav,203.26,5.65,15.12,13.99,1.78
100022075,2025-04-18,13:40,LUNCH,"Dal Khichdi , Jwarichi Bhakri , Mix Veg",402.61,11.56,70.2,8.99,11
100022075,2025-04-18,20:30,DINNER,"Tomato Cucumber Salad , Sprouts Salad",73.54,4.85,15.63,0.55,4.35
100022075,2025-04-19,09:30,PRE_BREAKFAST,"Oats Biscuit , Tea with Milk without Sugar",191.28,4.77,22.38,9.28,1.17
100022075,2025-04-21,07:35,PRE_BREAKFAST,Tea with Milk without Sugar,62.02,3.11,5.19,3.23,0.25082
100022075,2025-04-21,09:36,BREAKFAST,,0,0,0,0,0
100022075,2025-04-21,13:25,LUNCH,"Tomato Cucumber Salad , Shepu Sabji , Wheat Roti",289.95,9.12,51.52,6.14,9.07